step,lyap_E,mse,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,heat_removed,TV
149,0.0,0.0,33.30073600395093,27.773627618391323,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,33.33870551036399,27.778762836731545,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,33.37662844168622,27.78389769547116,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,33.414504913763245,27.789032193515713,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,33.452335042004584,27.794166329774058,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,33.490118941385944,27.79930010315836,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,33.52785672645139,27.804433512584044,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,33.56554851131555,27.809566556969802,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,33.6031944096658,27.814699235237583,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,33.64079453476441,27.819831546312535,0.0,0.0,0.0,0.0,0.0
159,0.0,0.0,33.67834899945074,27.82496348912304,0.0,0.0,0.0,0.0,0.0
160,0.0,0.0,33.71585791614333,27.830095062600677,0.0,0.0,0.0,0.0,0.0
161,0.0,0.0,33.75332139684205,27.83522626568019,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,33.790739553130194,27.840357097299496,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,33.828112496176615,27.845487556399668,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,33.86544033673777,27.85061764192489,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,33.90272318515981,27.855747352822497,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,33.93996115138063,27.86087668804291,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,33.97715434493193,27.86600564653964,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,34.01430287494124,27.871134227269287,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,34.05140685013391,27.876262429191502,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,34.08846637883518,27.88139025126899,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,34.12548156897211,27.88651769246749,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,34.16245252807561,27.89164475175576,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,34.199379363282375,27.896771428105573,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,34.236262181336855,27.901897720491707,0.0,0.0,0.0,0.0,0.0
175,0.0,0.0,34.273101088593215,27.9070236278919,0.0,0.0,0.0,0.0,0.0
176,0.0,0.0,34.30989619101724,27.91214914928687,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,34.346647594188276,27.91727428366031,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,34.38335540330113,27.922399029998832,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,34.42001972316796,27.927523387292,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,34.45664065822019,27.9326473545323,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,34.49321831251033,27.937770930715114,0.0,0.0,0.0,0.0,0.0
182,0.0,0.0,34.529752789713896,27.942894114838733,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,34.566244193131226,27.94801690590433,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,34.60269262568931,27.953139302915964,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,34.63909818994365,27.958261304880534,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,34.675460988080054,27.963382910807816,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,34.71178112191644,27.968504119710413,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,34.74805869290464,27.973624930603773,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,34.78429380213218,27.97874534250614,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,34.82048655032405,27.983865354438592,0.0,0.0,0.0,0.0,0.0
191,0.0,0.0,34.85663703784444,27.988984965424997,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,34.892745364698555,27.994104174491994,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,34.92881163053428,27.999222980669042,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,34.96483593464394,28.004341382988315,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,35.00081837596606,28.009459380484785,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,35.036759053086996,28.014576972196156,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,35.07265806424268,28.019694157162867,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,35.10851550732029,28.02481093442809,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,35.14433147985994,28.029927303037724,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,35.180106079056344,28.035043262040357,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,35.215839401760455,28.04015881048729,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,35.25153154448113,28.04527394743251,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,35.28718260338676,28.050388671932684,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,35.322792674306896,28.05550298304715,0.0,0.0,0.0,0.0,0.0
205,0.0,0.0,35.35836185273387,28.06061687983791,0.0,0.0,0.0,0.0,0.0
