label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,445,42.896308975269456,29.274110360460337,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,450,43.03546979811663,29.29906460510714,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,455,43.17401292953645,29.32400434461904,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,460,43.3119439287873,29.34892952182009,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,465,43.449268280885846,29.37384008040762,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,470,43.5859913979291,29.39873596494225,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,475,43.722118620386645,29.423617120837967,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,480,43.85765521836383,29.448483494352388,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,485,43.99260639283664,29.473335032577104,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,490,44.1269772768591,29.498171683428147,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,495,44.26077293674392,29.522993395636615,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,500,44.393998373217144,29.54780011873933,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,505,44.52665852254738,29.572591803069727,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,3.123057368270564e-16,0.0
Fixed-clean VIFD,510,44.65875825765044,29.597368399748724,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,3.1259439481345896e-16,0.0
Fixed-clean VIFD,515,44.79030238916997,29.622129860675802,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,520,44.921295666534654,29.646876138520152,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,3.1274982603690647e-16,0.0
Fixed-clean VIFD,525,45.05174254042438,29.671607186683868,0.0003,2.5410617699534445e-10,4.6801304133968704e-08,9.494131726953618e-10,5.425660104718024e-11,3.613376849993227e-07,3.5,0.2,0.00035,1.0,0.0011829264434272317,0.050536423184315137
Fixed-clean VIFD,530,45.18163753814,29.696322956307732,0.0008,1.2164938829677309e-08,2.2506494588643172e-06,3.06162403523563e-08,4.854234137097778e-09,9.248526579882014e-06,3.5,0.2,0.00035,1.0,0.002986509233296133,0.08397735047130929
Fixed-clean VIFD,535,45.310966661342036,29.721023387672506,0.0012,6.10237147721385e-08,1.1335155158149003e-05,1.2286801427106233e-07,2.6108009430388883e-08,4.266954355300557e-05,3.5,0.2,0.00035,1.0,0.006082336740948747,0.11142925440348062
Fixed-clean VIFD,540,45.43971532816516,29.745708407057723,0.0017,1.7167817602854444e-07,3.2021027243218915e-05,2.946517469575146e-07,7.557198379036607e-08,0.00011550078268088046,3.5,0.2,0.00035,1.0,0.008658003696083936,0.13209899622801166
Fixed-clean VIFD,545,45.56786882375248,29.770377928358915,0.0023,3.6630917144349106e-07,6.860558241109025e-05,5.60140389756727e-07,1.628982731396091e-07,0.00024144516405780872,3.5,0.2,0.00035,1.0,0.010663644984417369,0.1487946379177282
Fixed-clean VIFD,550,45.6954127845359,29.7950318511817,0.0027,6.732754102492659e-07,0.00012659385930763412,9.360505749008768e-07,3.001961662210237e-07,0.00043736794160888415,3.5,0.2,0.00035,1.0,0.014057306239104278,0.16480734597467867
Fixed-clean VIFD,555,45.822332872078775,29.81967006194404,0.0031,1.111455615621726e-06,0.0002098155769318081,1.4245522466392592e-06,4.952473030805265e-07,0.0007143750718217871,3.5,0.2,0.00035,1.0,0.016312083160001333,0.17877378867816662
Fixed-clean VIFD,560,45.9486145852755,29.844292436078703,0.0035,1.7016216731853777e-06,0.0003224984410959828,2.0373498545475845e-06,7.556405758422706e-07,0.0010848755304419448,3.5,0.2,0.00035,1.0,0.018819871470775358,0.1912542789467665
Fixed-clean VIFD,565,46.07424342974142,29.86889883618513,0.004,2.4664818194113017e-06,0.0004692827707553582,2.7824911997312164e-06,1.0898013259529034e-06,0.001562378714170049,3.5,0.2,0.00035,1.0,0.021567923005421978,0.20283006231496634
Fixed-clean VIFD,570,46.1992050431733,29.893489111040708,0.0045,3.429288347172668e-06,0.000654968860141428,3.669423659914269e-06,1.506051566751032e-06,0.002160111095123992,3.5,0.2,0.00035,1.0,0.023918155688143174,0.21380628295898166
Fixed-clean VIFD,575,46.32348520357354,29.91806309700673,0.0049,4.608865211033505e-06,0.0008835948371713953,4.700483311900788e-06,2.0105392196243426e-06,0.002888558330974338,3.5,0.2,0.00035,1.0,0.026139057086953348,0.22412456032939776
